ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR(Click-Through Rate) (%),CPC (Cost per Click),Conversion Rate (%),Cost per Conversion,ROI (%),CTR,CTR,CPC,CPC (Cost per Click),CPA,CPA,ConversionRate,Conversion Rate ,Revenue,Revenue,ROI,ROI
708746,17/08/2017,17/08/2017,916,103916,30-34,M,15,17,17,7350,1,1.429999948,2,1,0.0136,0.0065,200,0.715,-30.07,0.000136054,0.000136054,1.429999948,1.429999948,0.714999974,0.714999974,2,2,50,50,33.96503624,33.96503624
708749,17/08/2017,17/08/2017,916,103917,30-34,M,16,19,21,17861,2,1.820000023,2,0,,,,,,0.000111976,,0.910000012,,0.910000012,,1,,0,,-1,
708771,17/08/2017,17/08/2017,916,103920,30-34,M,20,25,22,693,0,0,1,0,,,,,,0,,0,,0,,1,,0,,0,
708815,30/08/2017,30/08/2017,916,103928,30-34,M,28,32,32,4259,1,1.25,1,0,,,,,,0.000234797,,1.25,,1.25,,1,,0,,-1,
708818,17/08/2017,17/08/2017,916,103928,30-34,M,28,33,32,4133,1,1.289999962,1,1,,,,,,0.000241955,,1.289999962,,1.289999962,,1,,50,,37.75969106,
708820,17/08/2017,17/08/2017,916,103929,30-34,M,29,30,30,1915,0,0,1,1,,,,,,0,,0,,0,,1,,50,,50,
708889,17/08/2017,17/08/2017,916,103940,30-34,M,15,16,17,15615,3,4.769999981,1,0,,,,,,0.000192123,,1.589999994,,4.769999981,,0.333333333,,0,,-1,
708895,17/08/2017,17/08/2017,916,103941,30-34,M,16,20,18,10951,1,1.269999981,1,1,,,,,,9.13E-05,,1.269999981,,1.269999981,,1,,50,,38.37007933,
708953,17/08/2017,17/08/2017,916,103951,30-34,M,27,31,31,2355,1,1.5,1,0,,,,,,0.000424628,,1.5,,1.5,,1,,0,,-1,
708958,30/08/2017,30/08/2017,916,103952,30-34,M,28,32,31,9502,3,3.159999967,1,0,,,,,,0.000315723,,1.053333322,,3.159999967,,0.333333333,,0,,-1,
708979,30/08/2017,30/08/2017,916,103955,30-34,M,31,37,34,1224,0,0,1,0,,,,,,0,,0,,0,,1,,0,,0,
709023,29/08/2017,29/08/2017,916,103962,30-34,M,7,8,8,735,0,0,1,0,,,,,,0,,0,,0,,1,,0,,0,
709038,29/08/2017,29/08/2017,916,103965,30-34,M,16,20,22,5117,0,0,1,0,,,,,,0,,0,,0,,1,,0,,0,
709040,29/08/2017,29/08/2017,916,103965,30-34,M,16,19,21,5120,0,0,1,0,,,,,,0,,0,,0,,1,,0,,0,
709059,30/08/2017,30/08/2017,916,103968,30-34,M,20,26,23,14669,7,10.28000021,1,1,,,,,,0.000477197,,1.468571459,,10.28000021,,0.142857143,,50,,3.86381313,
709105,30/08/2017,30/08/2017,916,103976,30-34,M,28,30,32,1241,0,0,1,1,,,,,,0,,0,,0,,1,,50,,50,
709115,30/08/2017,30/08/2017,916,103978,30-34,M,30,34,31,2305,1,0.569999993,1,0,,,,,,0.000433839,,0.569999993,,0.569999993,,1,,0,,-1,
709124,30/08/2017,30/08/2017,916,103979,30-34,M,31,34,33,1024,0,0,1,1,,,,,,0,,0,,0,,1,,50,,50,
